Function,Algorithm,Mean,Median,Std,Best,Worst
F1,mgo,2.51861e-70,1.83363e-76,1.3751e-69,4.7051e-84,7.53249e-69
F1,hybrid,6.68978e-115,7.5567e-121,3.66303e-114,1.35621e-126,2.00635e-113
F1,gwo,8.09923e-28,4.21641e-28,1.17344e-27,8.24736e-30,4.44728e-27
F1,pso,1.37056e-06,9.95596e-10,6.46299e-06,1.90618e-13,3.52444e-05
F1,woa,6.48222e-72,1.8235e-78,3.33044e-71,1.97799e-89,1.82468e-70
F1,sca,13.3065,3.96478,30.8195,0.00994987,169.785
F1,tsa,1.32916e-21,2.93424e-22,2.76224e-21,5.36399e-24,1.44623e-20
F2,mgo,3.85201e-42,1.43681e-43,1.1757e-41,1.28171e-45,5.65592e-41
F2,hybrid,4.41549e-68,2.20193e-70,1.46476e-67,6.16425e-73,6.33342e-67
F2,gwo,9.34024e-17,8.84493e-17,5.27607e-17,1.97241e-17,2.48029e-16
F2,pso,0.0854085,0.0510584,0.114193,0.00189734,0.517441
F2,woa,7.11459e-51,2.26983e-53,1.92828e-50,2.09509e-57,8.51258e-50
F2,sca,0.0167613,0.00484065,0.0384589,0.000601775,0.204595
F2,tsa,7.66525e-14,4.63599e-14,7.48796e-14,1.97416e-15,2.94074e-13
F3,mgo,1.36792e-08,6.85494e-11,4.36037e-08,1.47647e-15,2.12483e-07
F3,hybrid,3.19918e-08,3.00726e-10,1.46145e-07,7.74517e-16,7.99277e-07
F3,gwo,2.04474e-05,1.93122e-06,5.84488e-05,2.67532e-08,0.000310218
F3,pso,67.5917,44.5669,59.1283,4.3232,260.566
F3,woa,44457.6,43642.4,13502.5,8556.97,73304.1
F3,sca,9023.45,5919.83,7320.32,1094.71,32471.7
F3,tsa,0.000577239,4.41366e-05,0.00204007,3.51191e-10,0.0111864
F4,mgo,4.19475e-23,2.40166e-26,1.98867e-22,1.9845e-28,1.09137e-21
F4,hybrid,1.73308e-28,2.3604e-30,6.10551e-28,3.72923e-33,2.84432e-27
F4,gwo,9.74439e-07,4.74052e-07,1.57421e-06,9.34514e-08,8.15046e-06
F4,pso,2.04883,1.88762,0.924673,0.890838,4.76612
F4,woa,50.2752,46.4025,24.6182,1.85057,84.1392
F4,sca,32.6814,33.9517,12.2995,5.42466,52.7227
F4,tsa,0.408169,0.189086,0.708034,0.0124974,3.86595
F5,mgo,1.52894e-24,2.78382e-29,6.35475e-24,0,3.39132e-23
F5,hybrid,0.0655391,0.0627662,0.0437726,0.000107945,0.163167
F5,gwo,27.1716,27.1233,0.81357,26.1301,28.7687
F5,pso,40.0859,25.439,33.4178,4.54223,143.332
F5,woa,27.9882,27.8759,0.559558,27.0874,28.7745
F5,sca,56913.8,7473.77,115881,37.4982,577886
F5,tsa,28.1304,28.6451,0.929425,26.1847,28.9037
F6,mgo,2.31014e-09,7.91082e-10,4.60846e-09,1.42738e-13,2.33812e-08
F6,hybrid,8.85401e-05,8.00971e-05,3.62897e-05,3.20371e-05,0.000205102
F6,gwo,0.70486,0.745382,0.390078,9.34753e-05,1.47835
F6,pso,7.39875e-07,4.82644e-10,3.02565e-06,6.78647e-13,1.64255e-05
F6,woa,0.415119,0.42816,0.182311,0.10737,0.818842
F6,sca,15.5291,8.3884,14.3269,4.70326,53.6948
F6,tsa,3.59344,3.57275,0.701029,2.31569,5.29246
F7,mgo,0.000386459,0.000382403,0.000198632,2.5195e-05,0.000844919
F7,hybrid,0.000226101,0.000181496,0.000149427,3.06176e-05,0.00063481
F7,gwo,0.00197993,0.00164528,0.00131466,0.000425819,0.00695628
F7,pso,0.032478,0.0319587,0.0123779,0.0100285,0.0547405
F7,woa,0.00477894,0.00406833,0.00388249,6.53984e-05,0.0146377
F7,sca,0.101165,0.101103,0.065451,0.00832205,0.252209
F7,tsa,0.0119225,0.0106932,0.00582635,0.00437708,0.0261572
